navigation_id,timestamp,planned_x,planned_y,executed_x,executed_y,path_error,accumulated_distance,instantaneous_velocity,elapsed_time
1,1734626679.360,1.480,-0.230,1.493,-0.229,0.001,0.000,0.000,0.082
1,1734626679.560,1.480,-0.230,1.493,-0.229,0.001,0.000,0.000,0.282
1,1734626679.760,1.480,-0.230,1.492,-0.230,0.001,0.000,0.002,0.482
1,1734626679.960,1.480,-0.230,1.492,-0.230,0.002,0.001,0.002,0.681
1,1734626680.160,1.480,-0.230,1.492,-0.230,0.001,0.001,0.001,0.882
1,1734626680.361,1.480,-0.230,1.478,-0.235,0.006,0.016,0.075,1.082
1,1734626680.561,1.480,-0.230,1.478,-0.235,0.005,0.016,0.001,1.282
1,1734626680.760,1.480,-0.230,1.465,-0.252,0.026,0.037,0.105,1.482
1,1734626680.960,1.480,-0.230,1.465,-0.252,0.026,0.037,0.000,1.682
1,1734626681.160,1.480,-0.230,1.465,-0.252,0.026,0.037,0.000,1.882
1,1734626681.361,1.480,-0.230,1.463,-0.254,0.030,0.041,0.016,2.083
1,1734626681.560,1.480,-0.230,1.463,-0.254,0.029,0.041,0.001,2.282
1,1734626681.760,1.480,-0.230,1.463,-0.254,0.029,0.041,0.000,2.482
1,1734626681.961,1.480,-0.230,1.449,-0.250,0.037,0.055,0.071,2.682
1,1734626682.161,1.480,-0.230,1.450,-0.254,0.039,0.059,0.022,2.882
1,1734626682.361,1.480,-0.230,1.452,-0.262,0.043,0.067,0.039,3.082
1,1734626682.560,1.480,-0.280,1.435,-0.267,0.047,0.085,0.089,3.281
1,1734626682.760,1.480,-0.280,1.438,-0.273,0.043,0.092,0.036,3.481
1,1734626682.960,1.480,-0.280,1.440,-0.277,0.040,0.096,0.020,3.681
1,1734626683.160,1.480,-0.280,1.411,-0.275,0.069,0.124,0.143,3.882
1,1734626683.360,1.480,-0.280,1.414,-0.278,0.066,0.129,0.022,4.081
1,1734626683.560,1.430,-0.280,1.423,-0.287,0.010,0.141,0.062,4.282
1,1734626683.760,1.430,-0.280,1.433,-0.306,0.026,0.163,0.108,4.481
1,1734626683.960,1.430,-0.280,1.445,-0.314,0.034,0.178,0.073,4.682
1,1734626684.160,1.430,-0.280,1.452,-0.318,0.037,0.185,0.040,4.882
1,1734626684.361,1.479,-0.282,1.460,-0.322,0.041,0.194,0.042,5.082
1,1734626684.560,1.473,-0.331,1.471,-0.332,0.002,0.210,0.078,5.281
1,1734626684.761,1.473,-0.331,1.478,-0.335,0.006,0.217,0.036,5.482
1,1734626684.960,1.473,-0.331,1.481,-0.336,0.009,0.220,0.017,5.682
1,1734626685.160,1.473,-0.331,1.489,-0.336,0.013,0.228,0.038,5.882
1,1734626685.360,1.494,-0.319,1.494,-0.336,0.015,0.232,0.022,6.081
1,1734626685.561,1.480,-0.330,1.500,-0.336,0.012,0.239,0.034,6.282
1,1734626685.760,1.520,-0.317,1.504,-0.335,0.012,0.243,0.019,6.482
1,1734626685.961,1.520,-0.317,1.530,-0.332,0.018,0.270,0.134,6.682
1,1734626686.160,1.540,-0.303,1.561,-0.326,0.031,0.301,0.158,6.881
1,1734626686.360,1.561,-0.288,1.580,-0.326,0.042,0.319,0.092,7.081
1,1734626686.560,1.630,-0.330,1.609,-0.316,0.025,0.351,0.156,7.281
1,1734626686.761,1.630,-0.330,1.636,-0.305,0.013,0.380,0.144,7.483
1,1734626686.960,1.662,-0.298,1.664,-0.293,0.003,0.410,0.153,7.682
1,1734626687.160,1.680,-0.282,1.690,-0.280,0.002,0.439,0.146,7.882
1,1734626687.360,1.725,-0.259,1.726,-0.252,0.006,0.485,0.229,8.082
1,1734626687.560,1.730,-0.230,1.745,-0.239,0.016,0.507,0.111,8.282
1,1734626687.760,1.771,-0.202,1.776,-0.216,0.015,0.546,0.192,8.481
1,1734626687.960,1.771,-0.202,1.793,-0.202,0.022,0.568,0.111,8.682
1,1734626688.160,1.794,-0.165,1.807,-0.182,0.021,0.593,0.126,8.881
1,1734626688.360,1.814,-0.149,1.824,-0.163,0.017,0.618,0.123,9.082
1,1734626688.561,1.880,-0.130,1.846,-0.136,0.035,0.652,0.173,9.283
1,1734626688.760,1.880,-0.130,1.859,-0.116,0.025,0.677,0.122,9.481
1,1734626688.960,1.894,-0.074,1.880,-0.086,0.014,0.714,0.186,9.681
1,1734626689.160,1.894,-0.074,1.893,-0.064,0.002,0.739,0.125,9.882
1,1734626689.360,1.894,-0.024,1.910,-0.030,0.016,0.777,0.190,10.081
1,1734626689.560,1.893,0.001,1.919,-0.010,0.025,0.799,0.112,10.282
1,1734626689.759,1.928,0.027,1.931,0.022,0.003,0.833,0.171,10.481
1,1734626689.960,1.927,0.052,1.938,0.043,0.011,0.855,0.110,10.682
1,1734626690.160,1.926,0.077,1.948,0.080,0.022,0.893,0.189,10.882
1,1734626690.360,1.924,0.102,1.952,0.101,0.028,0.915,0.108,11.081
1,1734626690.561,1.923,0.127,1.957,0.129,0.035,0.944,0.146,11.282
1,1734626690.760,1.960,0.154,1.966,0.164,0.008,0.979,0.176,11.482
1,1734626690.960,1.955,0.178,1.968,0.186,0.014,1.001,0.112,11.681
1,1734626691.160,1.949,0.202,1.969,0.217,0.023,1.032,0.155,11.881
1,1734626691.360,1.943,0.227,1.970,0.246,0.032,1.061,0.146,12.081
1,1734626691.560,1.929,0.275,1.970,0.284,0.042,1.099,0.188,12.282
1,1734626691.761,1.961,0.306,1.970,0.306,0.008,1.121,0.111,12.482
1,1734626691.960,1.956,0.330,1.969,0.343,0.016,1.159,0.188,12.681
1,1734626692.160,1.949,0.354,1.968,0.366,0.021,1.181,0.111,12.882
1,1734626692.359,1.935,0.402,1.965,0.403,0.029,1.219,0.188,13.081
1,1734626692.559,1.928,0.426,1.963,0.432,0.036,1.248,0.145,13.281
1,1734626692.760,1.980,0.470,1.960,0.470,0.018,1.286,0.189,13.481
1,1734626692.960,1.964,0.504,1.957,0.495,0.010,1.310,0.125,13.681
1,1734626693.159,1.960,0.528,1.953,0.530,0.006,1.346,0.177,13.881
1,1734626693.359,1.955,0.553,1.950,0.554,0.005,1.370,0.122,14.081
1,1734626693.560,1.950,0.577,1.946,0.589,0.002,1.405,0.175,14.281
1,1734626693.759,1.930,0.620,1.943,0.613,0.015,1.430,0.122,14.481
1,1734626693.960,1.915,0.646,1.938,0.650,0.022,1.467,0.189,14.681
1,1734626694.159,1.914,0.671,1.936,0.672,0.021,1.490,0.111,14.881
1,1734626694.360,1.913,0.696,1.925,0.694,0.012,1.513,0.118,15.082
1,1734626694.560,1.913,0.721,1.923,0.716,0.010,1.535,0.110,15.282
1,1734626694.759,1.930,0.770,1.919,0.744,0.028,1.564,0.143,15.481
1,1734626694.959,1.917,0.796,1.915,0.779,0.010,1.599,0.175,15.681
1,1734626695.160,1.917,0.796,1.912,0.797,0.005,1.618,0.094,15.881
1,1734626695.360,1.917,0.821,1.910,0.811,0.007,1.631,0.069,16.081
1,1734626695.559,1.917,0.821,1.910,0.811,0.007,1.631,0.000,16.281
1,1734626695.759,1.917,0.821,1.910,0.811,0.007,1.632,0.001,16.481
1,1734626695.960,1.917,0.821,1.910,0.811,0.007,1.632,0.001,16.681
1,1734626696.159,1.917,0.821,1.910,0.811,0.007,1.632,0.000,16.881
1,1734626696.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.081
1,1734626696.560,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.281
1,1734626696.759,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.481
1,1734626696.960,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.681
1,1734626697.160,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.881
1,1734626697.360,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.081
1,1734626697.559,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.281
1,1734626697.760,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.481
1,1734626697.960,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.681
1,1734626698.159,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.881
1,1734626698.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.081
1,1734626698.559,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.281
1,1734626698.759,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.481
1,1734626698.960,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.681
1,1734626699.159,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.881
1,1734626699.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.081
1,1734626699.559,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.281
1,1734626699.759,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.481
1,1734626699.959,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.681
1,1734626700.159,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.881
1,1734626700.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,21.081
1,1734626700.560,1.917,0.821,1.910,0.810,0.007,1.632,0.000,21.281
2,1734626700.760,1.930,0.820,1.910,0.810,0.022,0.000,0.000,0.101
2,1734626700.960,1.930,0.820,1.910,0.814,0.021,0.004,0.019,0.302
2,1734626701.160,1.916,0.861,1.906,0.839,0.017,0.029,0.125,0.501
2,1734626701.360,1.916,0.861,1.902,0.869,0.013,0.059,0.152,0.701
2,1734626701.560,1.910,0.911,1.898,0.907,0.013,0.097,0.190,0.901
2,1734626701.760,1.880,0.920,1.895,0.930,0.016,0.121,0.119,1.101
2,1734626701.960,1.873,0.962,1.874,0.943,0.002,0.145,0.122,1.301
2,1734626702.160,1.873,0.962,1.870,0.964,0.003,0.166,0.105,1.501
2,1734626702.360,1.872,0.987,1.866,0.999,0.006,0.202,0.176,1.701
2,1734626702.560,1.871,1.012,1.863,1.023,0.008,0.227,0.125,1.901
2,1734626702.760,1.880,1.070,1.860,1.061,0.022,0.264,0.188,2.102
2,1734626702.961,1.875,1.097,1.858,1.083,0.019,0.286,0.111,2.302
2,1734626703.160,1.875,1.122,1.857,1.121,0.018,0.324,0.188,2.502
2,1734626703.360,1.875,1.147,1.856,1.143,0.019,0.346,0.110,2.701
2,1734626703.560,1.875,1.172,1.856,1.181,0.019,0.384,0.189,2.901
2,1734626703.760,1.880,1.220,1.857,1.203,0.029,0.406,0.110,3.101
2,1734626703.960,1.880,1.220,1.871,1.225,0.009,0.432,0.132,3.301
2,1734626704.160,1.880,1.262,1.874,1.256,0.006,0.464,0.156,3.501
2,1734626704.360,1.881,1.287,1.878,1.284,0.003,0.492,0.143,3.701
2,1734626704.560,1.881,1.312,1.884,1.322,0.003,0.530,0.190,3.901
2,1734626704.760,1.882,1.337,1.888,1.343,0.006,0.552,0.110,4.101
2,1734626704.960,1.880,1.370,1.897,1.380,0.017,0.590,0.190,4.301
2,1734626705.160,1.881,1.417,1.903,1.402,0.022,0.612,0.111,4.501
2,1734626705.360,1.908,1.458,1.914,1.438,0.018,0.650,0.189,4.701
2,1734626705.560,1.908,1.458,1.931,1.451,0.024,0.672,0.109,4.901
2,1734626705.760,1.908,1.458,1.944,1.486,0.045,0.710,0.189,5.101
2,1734626705.959,1.930,1.520,1.953,1.506,0.027,0.732,0.110,5.301
2,1734626706.160,1.930,1.520,1.966,1.535,0.039,0.763,0.156,5.501
2,1734626706.359,1.983,1.604,1.981,1.562,0.042,0.794,0.158,5.701
2,1734626706.560,1.983,1.604,1.999,1.587,0.024,0.825,0.152,5.901
2,1734626706.760,1.994,1.627,2.012,1.608,0.025,0.849,0.123,6.101
2,1734626706.960,2.033,1.648,2.032,1.637,0.011,0.884,0.175,6.301
2,1734626707.159,2.042,1.671,2.047,1.656,0.010,0.909,0.123,6.500
2,1734626707.360,2.054,1.693,2.071,1.686,0.017,0.947,0.191,6.701
2,1734626707.560,2.071,1.711,2.083,1.694,0.018,0.961,0.070,6.901
2,1734626707.760,2.096,1.712,2.109,1.721,0.010,0.999,0.187,7.101
2,1734626707.959,2.130,1.720,2.124,1.736,0.015,1.021,0.109,7.300
2,1734626708.160,2.169,1.761,2.145,1.756,0.014,1.049,0.144,7.501
2,1734626708.359,2.169,1.761,2.169,1.777,0.016,1.080,0.155,7.701
2,1734626708.559,2.215,1.776,2.191,1.795,0.029,1.110,0.146,7.901
2,1734626708.760,2.259,1.799,2.238,1.825,0.033,1.165,0.278,8.101
2,1734626708.959,2.258,1.813,2.256,1.837,0.023,1.187,0.110,8.301
2,1734626709.159,2.305,1.822,2.282,1.854,0.039,1.218,0.154,8.500
2,1734626709.360,2.326,1.834,2.307,1.869,0.040,1.247,0.145,8.701
2,1734626709.560,2.348,1.846,2.332,1.883,0.040,1.276,0.144,8.901
2,1734626709.759,2.370,1.858,2.351,1.892,0.039,1.297,0.106,9.100
2,1734626709.960,2.370,1.858,2.354,1.894,0.039,1.300,0.014,9.301
2,1734626710.160,2.370,1.858,2.354,1.894,0.039,1.300,0.000,9.501
2,1734626710.359,2.370,1.858,2.353,1.894,0.039,1.300,0.001,9.701
2,1734626710.559,2.370,1.858,2.353,1.894,0.039,1.300,0.000,9.900
2,1734626710.760,2.370,1.858,2.353,1.894,0.039,1.300,0.000,10.101
2,1734626710.960,2.370,1.858,2.353,1.894,0.039,1.300,0.000,10.301
2,1734626711.160,2.370,1.858,2.353,1.894,0.039,1.300,0.000,10.501
2,1734626711.360,2.370,1.858,2.353,1.894,0.039,1.300,0.000,10.701
2,1734626711.560,2.370,1.858,2.353,1.893,0.039,1.300,0.000,10.901
2,1734626711.760,2.370,1.858,2.353,1.893,0.039,1.300,0.000,11.101
2,1734626711.960,2.370,1.858,2.353,1.893,0.039,1.300,0.000,11.301
3,1734626712.160,2.338,1.870,2.353,1.893,0.023,0.000,0.000,0.184
3,1734626712.360,2.338,1.870,2.354,1.894,0.024,0.001,0.003,0.384
3,1734626712.560,2.380,1.870,2.379,1.889,0.019,0.026,0.126,0.584
3,1734626712.761,2.380,1.870,2.379,1.889,0.019,0.026,0.000,0.784
3,1734626712.960,2.380,1.870,2.385,1.898,0.028,0.036,0.053,0.983
3,1734626713.160,2.380,1.870,2.385,1.898,0.028,0.036,0.000,1.184
3,1734626713.360,2.380,1.870,2.393,1.899,0.032,0.045,0.040,1.383
3,1734626713.560,2.380,1.870,2.393,1.899,0.032,0.045,0.000,1.584
3,1734626713.761,2.380,1.870,2.396,1.901,0.035,0.049,0.020,1.784
3,1734626713.960,2.380,1.870,2.396,1.901,0.035,0.049,0.000,1.984
3,1734626714.161,2.380,1.920,2.417,1.904,0.040,0.069,0.103,2.184
3,1734626714.361,2.380,1.920,2.417,1.904,0.040,0.069,0.001,2.384
3,1734626714.560,2.380,1.920,2.428,1.910,0.049,0.082,0.062,2.584
3,1734626714.760,2.380,1.920,2.428,1.910,0.049,0.082,0.000,2.784
3,1734626714.960,2.380,1.920,2.443,1.908,0.065,0.097,0.079,2.984
3,1734626715.160,2.430,1.920,2.443,1.908,0.018,0.097,0.000,3.184
3,1734626715.360,2.430,1.920,2.452,1.906,0.026,0.106,0.042,3.383
3,1734626715.560,2.430,1.920,2.454,1.899,0.032,0.113,0.035,3.584
3,1734626715.761,2.430,1.920,2.472,1.887,0.053,0.135,0.108,3.784
3,1734626715.961,2.430,1.920,2.473,1.873,0.064,0.149,0.072,3.984
3,1734626716.160,2.480,1.870,2.488,1.847,0.024,0.178,0.146,4.184
3,1734626716.361,2.480,1.870,2.486,1.818,0.052,0.208,0.146,4.384
3,1734626716.560,2.480,1.870,2.488,1.782,0.088,0.244,0.181,4.584
3,1734626716.760,2.480,1.870,2.483,1.762,0.108,0.264,0.103,4.784
3,1734626716.961,2.480,1.870,2.471,1.729,0.141,0.300,0.177,4.984
3,1734626717.160,2.480,1.720,2.462,1.710,0.021,0.320,0.103,5.184
3,1734626717.360,2.480,1.720,2.459,1.698,0.030,0.333,0.062,5.384
3,1734626717.560,2.480,1.720,2.443,1.674,0.059,0.362,0.147,5.584
3,1734626717.760,2.480,1.720,2.426,1.653,0.086,0.389,0.135,5.784
3,1734626717.961,2.480,1.720,2.409,1.633,0.113,0.416,0.133,5.984
3,1734626718.160,2.480,1.720,2.388,1.615,0.140,0.443,0.137,6.184
3,1734626718.360,2.380,1.620,2.364,1.598,0.027,0.472,0.147,6.384
3,1734626718.560,2.380,1.620,2.345,1.593,0.045,0.492,0.099,6.584
3,1734626718.760,2.380,1.620,2.317,1.580,0.075,0.523,0.153,6.784
3,1734626718.961,2.380,1.620,2.290,1.569,0.104,0.552,0.146,6.984
3,1734626719.160,2.380,1.620,2.251,1.568,0.139,0.590,0.191,7.184
3,1734626719.360,2.230,1.570,2.230,1.564,0.006,0.612,0.111,7.384
3,1734626719.561,2.230,1.570,2.192,1.558,0.036,0.650,0.189,7.584
3,1734626719.760,2.206,1.596,2.168,1.556,0.055,0.675,0.122,7.783
3,1734626719.960,2.170,1.629,2.129,1.550,0.090,0.714,0.199,7.984
3,1734626720.160,2.170,1.629,2.104,1.550,0.103,0.739,0.122,8.183
3,1734626720.360,2.055,1.561,2.069,1.553,0.012,0.774,0.176,8.384
3,1734626720.560,2.055,1.561,2.045,1.556,0.010,0.799,0.123,8.583
3,1734626720.760,2.018,1.594,2.009,1.567,0.026,0.836,0.186,8.784
3,1734626720.960,2.018,1.594,1.987,1.572,0.036,0.858,0.110,8.984
3,1734626721.160,1.976,1.622,1.951,1.580,0.050,0.895,0.187,9.184
3,1734626721.360,1.952,1.592,1.930,1.585,0.020,0.918,0.111,9.383
3,1734626721.560,1.912,1.619,1.902,1.593,0.028,0.947,0.145,9.584
3,1734626721.760,1.891,1.634,1.872,1.603,0.036,0.977,0.154,9.784
3,1734626721.960,1.870,1.647,1.844,1.612,0.043,1.007,0.146,9.983
3,1734626722.160,1.827,1.673,1.809,1.625,0.050,1.045,0.190,10.184
3,1734626722.360,1.780,1.620,1.806,1.632,0.029,1.051,0.034,10.383
3,1734626722.560,1.768,1.658,1.771,1.646,0.001,1.089,0.190,10.584
3,1734626722.760,1.768,1.658,1.751,1.655,0.017,1.112,0.111,10.784
3,1734626722.960,1.737,1.697,1.716,1.670,0.033,1.150,0.191,10.983
3,1734626723.160,1.714,1.707,1.696,1.679,0.033,1.172,0.110,11.183
3,1734626723.360,1.673,1.700,1.662,1.695,0.012,1.210,0.189,11.383
3,1734626723.560,1.663,1.723,1.642,1.704,0.027,1.232,0.110,11.583
3,1734626723.760,1.629,1.758,1.608,1.720,0.043,1.269,0.188,11.784
3,1734626723.960,1.580,1.762,1.585,1.729,0.033,1.293,0.121,11.983
3,1734626724.160,1.580,1.762,1.559,1.749,0.021,1.326,0.163,12.183
3,1734626724.360,1.530,1.770,1.536,1.759,0.013,1.351,0.124,12.384
3,1734626724.560,1.500,1.774,1.504,1.772,0.002,1.386,0.176,12.583
3,1734626724.760,1.481,1.791,1.481,1.781,0.007,1.410,0.123,12.783
3,1734626724.960,1.462,1.806,1.446,1.794,0.019,1.448,0.188,12.983
3,1734626725.160,1.442,1.821,1.425,1.801,0.026,1.470,0.110,13.183
3,1734626725.360,1.396,1.841,1.397,1.809,0.030,1.499,0.146,13.383
3,1734626725.560,1.380,1.820,1.367,1.817,0.009,1.530,0.153,13.584
3,1734626725.760,1.320,1.846,1.331,1.827,0.018,1.568,0.190,13.783
3,1734626725.959,1.295,1.847,1.300,1.826,0.021,1.599,0.156,13.983
3,1734626726.160,1.271,1.849,1.271,1.833,0.016,1.628,0.144,14.183
3,1734626726.359,1.246,1.850,1.235,1.841,0.009,1.665,0.188,14.383
3,1734626726.560,1.230,1.870,1.213,1.846,0.023,1.687,0.110,14.583
3,1734626726.760,1.166,1.868,1.176,1.854,0.014,1.725,0.188,14.783
3,1734626726.959,1.166,1.868,1.155,1.859,0.008,1.747,0.110,14.983
3,1734626727.159,1.116,1.865,1.118,1.869,0.004,1.785,0.190,15.183
3,1734626727.359,1.092,1.862,1.097,1.876,0.013,1.807,0.110,15.383
3,1734626727.560,1.044,1.880,1.061,1.888,0.012,1.845,0.190,15.583
3,1734626727.759,1.044,1.880,1.047,1.872,0.007,1.867,0.109,15.783
3,1734626727.959,1.023,1.894,1.012,1.885,0.014,1.905,0.188,15.983
3,1734626728.159,1.003,1.909,0.991,1.894,0.019,1.927,0.111,16.183
3,1734626728.359,0.984,1.925,0.957,1.910,0.029,1.965,0.190,16.383
3,1734626728.559,0.930,1.920,0.935,1.921,0.005,1.989,0.123,16.583
3,1734626728.760,0.906,1.949,0.904,1.938,0.008,2.025,0.178,16.783
3,1734626728.959,0.889,1.967,0.888,1.951,0.012,2.045,0.100,16.983
3,1734626729.159,0.872,1.985,0.863,1.967,0.019,2.075,0.149,17.183
3,1734626729.359,0.872,1.985,0.857,1.971,0.020,2.082,0.038,17.383
3,1734626729.559,0.872,1.985,0.857,1.971,0.020,2.083,0.001,17.583
3,1734626729.759,0.872,1.985,0.857,1.971,0.020,2.083,0.001,17.783
3,1734626729.960,0.872,1.985,0.857,1.971,0.020,2.083,0.001,17.983
3,1734626730.159,0.872,1.985,0.857,1.971,0.020,2.083,0.000,18.183
3,1734626730.359,0.872,1.985,0.858,1.971,0.020,2.083,0.001,18.383
3,1734626730.559,0.872,1.985,0.858,1.971,0.020,2.083,0.000,18.583
3,1734626730.759,0.872,1.985,0.858,1.971,0.020,2.083,0.000,18.783
3,1734626730.960,0.872,1.985,0.858,1.971,0.020,2.083,0.000,18.983
3,1734626731.160,0.872,1.985,0.858,1.971,0.020,2.083,0.000,19.183
3,1734626731.359,0.872,1.985,0.858,1.971,0.020,2.083,0.000,19.383
3,1734626731.559,0.872,1.985,0.858,1.971,0.020,2.083,0.000,19.583
3,1734626731.759,0.872,1.985,0.858,1.971,0.020,2.083,0.000,19.783
